lol,info,name,linkofproduct,area
10,"Advertising, Marketing, Media & Entertainment",Sujit Nair,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.6055ed9be4b03f92cbcb6df3.html,"Sujit is an SME & start-up specialist who has helped more than 30 SME’s and around 10 start-ups in their digital transformation initiatives from a systems & marketing viewpoint. An engineer by qualification, Sujit has been adept in understanding business processes because of which he has been a key member in devising core system implementation for B2B and B2C organizations.

His experience of around 17 years has been a mix of working in B2B / B2C SMEs ranging from an annual turnover of INR 10 crores (USD 1.5 Million) to INR 1500 crores (USD 200 Million). Sujit also co-founded and led a 360-degree online marketing agency helping clients leverage the digital marketing mediums to scale up their business"
11,"Analytics, Education, Healthcare & Lifesciences, IT Services, Sports",Varun Sharma,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.6049e51de4b03f92cbc5517c.html,"Having experience of 14 years with a demonstrated history of working in the Education Management industry and having 1-year experience in mentoring Startups. I am also a  TEDx Speaker, Skilled in Analytical Skills, IT Service Management, Design, Microsoft Outlook, and Data Management. Strong community and social services professional graduated from Chaudhary Charan Singh University. Having spent over 1 year in the health and fitness industry as a professional and an entrepreneur, I enjoy helping young entrepreneurs to build their ideas into businesses. I have Mentored AMBHOS in the field of health and fitness (Ideation, validation, and early-stage ) and this startup is really doing great. I love to help young minds to grow."
12,"Telecommunication & Networking, Education, Technology Hardware, IT Services",Keshab Ray,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.603de6e8e4b03f92cbc112f9.html,"I am a graduate Electrical Engineer from Bengal Engg. College- Calcutta
University(Now IIEST– an Institute of National Importance) with PG in IT from IIT-Delhi and MBA (Systems & Marketing) from FMS-Delhi University. I have submitted my PhD thesis in Birla Institute of Technology-Mesra. I have published 3 research articles in non-paid Scopus/ESCI/ABDC indexed reputed journals. My research topic is : A Study of Challenges and Strategies for Indian IT Companies towards the development of Global Brand.I am working with Royal Bank of Scotland as IT-Programme Manager(VP)
in Core Systems having 25 years of experience in ICT companies like IBM, CSC, Cognizant and Samsung. I have worked in USA, UK, South Korea, Singapore and India managing complex E2E IT projects involving teams located in different continents delivering IT solutions and IT strategy for RBS, Bank of Scotland, Metlife-US, John Hancock-US,DBS-Singapore, HBOS-UK & Bank of Ireland.I have been doing coaching and mentoring for last 25 years in Industry and now after completing my PhD, I would like to impart my knowledge with the young entrepreneurs"
13,Technology Hardware,NXP FABCI Core team,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.603c7a3be4b03f92cbc0b7ce.html,"A team of experts from NXP & FABCI, IIT Hyd who are running a Semiconductor accelerator program. "
14,"Telecommunication & Networking, Education, Renewable Energy",Kshitij Shinghal,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.6037367ce4b087332c697989.html,"Dr. Kshitij Shinghal obtained his Doctorate (Ph.D) in 2013. He has published more than 100 Papers in various National, International Journals and Conferences he has published several 10+ papers on entrepreneurship, Innovation and design thinking. He has authored and co-authored more than 10 books on Electronics & Communication Engineering. He has also authored books on Emotional Intelligence, Memory improvement techniques, Time management, Stress Management in workplace and Logical & creative thinking puzzles. He is an elected fellow member FIAET and FISRD. He has received Best Research Paper Award from the International Journal of Advances in Engineering, and Technology [IJAET] in 2015. He has received Certificate of Appreciation for the valuable services rendered in the field of education in 2016 from the Society of Global Education Index. He received Best Reviewer Award from International Journal of Recent Trends in Electrical and Electronics Engineering in 2016. He is also the recipient of IAET Engineering Education Excellence Award-2017. For the last twenty years, he has been actively involved in writing, teaching and research in the diverse areas of engineering, technology and self-help. He has been involved in guiding and motivating his students, to time management abilities, goal setting and follow Success principles that helps them to launch a successful business venture. He is a dynamic teacher, trainer, speaker and motivator."
15,AI,SAURAV SINGLA,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.60363d1ee4b087332c69505b.html,"Accomplished and high-performing Analytical professional with 15 years of deep expertise in the application of analytics, business intelligence, data mining, and statistics in multiple industries and 3 years of consulting experience and 5 years of managing a team in the data science field. Creative problem solver with a unique mix of technical, business, and research proficiency that lends itself to developing key strategies and solutions with significant impact on revenue and ROI. Working experience in machine learning, statistics, natural language processing and deep learning with extensive use of Python, R, SQL & Tableau."
16,"Telecommunication & Networking, Construction, Food & Beverages, Education",Kanisshka Tyagi,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.60353af5e4b0b471e767ee73.html,"Kanisshka Tyagi is a lawyer, who graduated from Campus Law Center, Delhi University, and joined a Delhi based corporate and commercial law firm, where she got extensive exposure in real estate sector and other general corporate and commercial work. She subsequently worked with leading corporate and commercial law firms in New Delhi (NCR Region) and got the opportunity to expand her practice base to include insolvency; private equity and regularly advised on cross border investment transactions amongst other practice areas.• Kanisshka joined Kaden Boriss, a global law firm, as Partner in 2011. She has executed and advised both foreign and domestic companies on transactions related to private equity investments, insolvency and bankruptcy, real estate, acquisitions, corporate restructuring arrangements, commercial contracts and secretarial matters. Besides Kanisshka has been a regular contributor to law magazines and journals and regular speaker at conferences and seminars and has addressed a wide variety of audiences at various platforms on corporate-legal issues. • Kanisshka with a view to encourage and mentor the young startups in India co-founded along with lawyer and company secretary and her colleague at Legum Amicuss, The WorkPlace, co-working offices and facilitated and mentored several startups and their respective founders for a period of 2 years, at the end of which the stake in The WorkPlace was diluted in favour of finance head of a leading co-working office brand.• Kainsshka is currently heading Business Strategies Department of Legum Amicuss, a young dynamic law firm based at New Delhi. Her personal interest lies at structuring of new businesses/startups and structuring them with holistic approach."
17,"Aeronautics Aerospace & Defence, Finance Technology, Enterprise Software",David Shastry,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.603079e2e4b017a8daed2b90.html,"Intelligent, confident and forward thinking, David champions digital design and product strategy at scale. Specializing in crafting data driven, user centered and highly strategic product experiences David drives critical and turnkey value for the corporate, defense, finance and government sectors. His pragmatic and strategic approach to design and product is backed by an entrepreneurial & business oriented mindset and this makes him unique as a creative. 

With clients like NATO, Walgreens, American Medical Association, Kellogs, Coca Cola and other industry leaders, David has brought his expertise and careful strategic guidance to clients at the highest levels of the legal, finance, manufacturing, healthcare, insurance, government, defense and other critical sectors. His expertise and counsel has empowered corporations of varying scale gain and retain key competitive advantage in their respective industries."
18,"Art & Photography, Events, Fashion, Food & Beverages, Dating Matrimonial",Anupama Modi,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.602bae6ee4b0e02b2d424fc5.html,"With an illustrated record of working in the Education management industry for the past 10 Years., I am an Entrepreneurship professional, skilled in Event Management, Team Building, and Teamwork.
Trained entrepreneurship educator from Wadhwani Foundation (NEN) and PMYUVA., my expertise is in developing an Entrepreneurship and Innovation ecosystem in Academic Institutes. Have represented Institutes in various industry associations and social organizations.
Servicing Educational Institutions has given me a wide range of exposure to gain expertise to conceptualize, to design, to develop, and to execute new programs from scratch, apart from enriching the existing ones."
19,Education,DS Chauhan,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.602ac38be4b0e02b2d41eeca.html,Innovating Design Thinking 
20,"AR VR (Augmented + Virtual Reality), Education, Healthcare & Lifesciences",Dr Srivats Bharadwaj,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.60281243e4b07bc22e786812.html,"Accomplished and passionate entrepreneur and a  oral healthcare professional with over 24 years of experience in practicing and teaching dentistry.

An academician at heart with an unyielding enthusiasm to modernize the dental education system, teach, and mentor the next generation of dentists and healthcare professionals to achieve their absolute best and contribute to furthering healthcare. Passionate about elevating dentistry to its rightful place in the league of medicine by promoting interdisciplinary learning and collaboration, with the objective of providing people across all strata of society with access to affordable and superlative oral healthcare. "
21,"Finance Technology, Social Impact, Waste Management",Atul Bajaj,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.602644a7e4b07bc22e77b7bb.html,"I have played multiple roles like COO, CTO, CDO, Transformation and Digitalization Consultant, Leadership and Change Management coach, HR Leader, Product and Program Manager, Analyst, and Developer, while working for Fortune 100 companies globally. I have been mentoring students for entrepreneurship in my outreach engagements with universities and colleges for last 15 years."
22,Human Resources,Sanjaykumar Vermaa,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.6023c2c5e4b07bc22e76ba9e.html,16+ years of experience in Human Resource & Facility Management. Credit of two tech-startups and involved in certification of two organization as ‘Great Place to Work’. A Certified Coach through International Coaching Association and a Certified Leadership Trainer from John Whitmore Academy (US)
23,"Analytics, Advertising, Finance Technology, Enterprise Software",Prof Anand Jagadeesan,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.601d740ae4b07bbc25b83279.html,"Anand Jagadeesan, an academician in the field of management science and a management consultant by professional practice, has qualified as
mathematics and management graduate with chartered accountancy experience of over 25 years in diversified sectors such as Oil & Gas, Media,
Banking, Information Technology, Non Banking Financial Services, Higher Education and NPOs. Presently he is the Advisor to V-Excel Educational Trust, Director of Nivesh Foundation for the Welfare of the Differently Abled Persons (Section 8 company -NGO), Managing Partner of Chennai Consulting Group, and Cyprium Advisors LLP."
24,"Agriculture, Events, Education, Human Resources",Vandana Sharma,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.600e76d2e4b06d1acbcc4d1d.html,"PROFILE
Certified Entrepreneurship Educator from wADHWANI fOUNDATION
Certified Innovation Ambassador by AICTE MHRD Innovation Cell. iNVITED AS A Jury Member for 3M CII YICA Challenge 2020. Having 10 years of strong working experience as an entrepreneurship educator, startup mentor, and in the field of Developing Entrepreneurship Ecosystem, Mentoring, training and building Strong Corporate Relationship. Working towards student development and mentoring various innovative ideas."
25,"Analytics, Advertising, Fashion, Finance Technology, Healthcare & Lifesciences",Gaurav Dubey,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.6004e11fe4b0c081f749b712.html,"Summary: CFA and a Marketer.Global Citizen Leader.IRF'15 Rising Star.Hay Group NextBig100 Entrepreneur. Business Design. I have been the Head Of Marketing for Multiple Companies handling their Digital, Performance , Branding, Alliances and Affiliates business.

I can help in: Creating a Business Plan, Goal Setting & Business Model. Marketing:Digital Marketing, Performance Marketing and Structuring, Alliances, Affiliates, Branding, Public Relations & media. Creating a website/Tech. Helping you secure a funding (only for a few industries). Global Market Reach."
26,"Healthcare & Lifesciences, Marketing",Rajesh Bhan,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.5ffed872e4b0c081f747a318.html,"Business leader having +27 years of  diverse experience in India and other Emerging Markets in SEA across Surgical Medical devices, Consumer Packaged Goods, Speciality Pharmaceuticals & Digital Therapeutics.

I have demonstrated ability in adapting to changing business needs, driving accelerated business growth and leading large and culturally diverse teams.

My key strengths are :-"
27,"Chemicals, Green Technology, Food & Beverages, Healthcare & Lifesciences",Vikas Vithhal Gite,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.6065c456e4b03f92cbd28973.html,"Director of KBCNMU Center for Innovation, Incubation and Linkages, An Incubation Center of Kaviyitri Bahinabai Chaudhari North Maharashtra University, Jalgaon (Section 8 Company CIN: U85300MH2019NPL330765), Supported by Department of Skill Development and Entrepreneurship, Govt. of Maharashtra under Maharashtra State Innovation Society Incubator Scheme."
28,"Advertising, Marketing, Media & Entertainment",Sujit Nair,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.6055ed9be4b03f92cbcb6df3.html,"Sujit is an SME & start-up specialist who has helped more than 30 SME’s and around 10 start-ups in their digital transformation initiatives from a systems & marketing viewpoint. An engineer by qualification, Sujit has been adept in understanding business processes because of which he has been a key member in devising core system implementation for B2B and B2C organizations.

His experience of around 17 years has been a mix of working in B2B / B2C SMEs ranging from an annual turnover of INR 10 crores (USD 1.5 Million) to INR 1500 crores (USD 200 Million). Sujit also co-founded and led a 360-degree online marketing agency helping clients leverage the digital marketing mediums to scale up their business"
29,"Analytics, Education, Healthcare & Lifesciences, IT Services, Sports",Varun Sharma,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.6049e51de4b03f92cbc5517c.html,"Having experience of 14 years with a demonstrated history of working in the Education Management industry and having 1-year experience in mentoring Startups. I am also a  TEDx Speaker, Skilled in Analytical Skills, IT Service Management, Design, Microsoft Outlook, and Data Management. Strong community and social services professional graduated from Chaudhary Charan Singh University. Having spent over 1 year in the health and fitness industry as a professional and an entrepreneur, I enjoy helping young entrepreneurs to build their ideas into businesses. I have Mentored AMBHOS in the field of health and fitness (Ideation, validation, and early-stage ) and this startup is really doing great. I love to help young minds to grow."
30,"Telecommunication & Networking, Education, Technology Hardware, IT Services",Keshab Ray,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.603de6e8e4b03f92cbc112f9.html,"I am a graduate Electrical Engineer from Bengal Engg. College- Calcutta
University(Now IIEST– an Institute of National Importance) with PG in IT from IIT-Delhi and MBA (Systems & Marketing) from FMS-Delhi University. I have submitted my PhD thesis in Birla Institute of Technology-Mesra. I have published 3 research articles in non-paid Scopus/ESCI/ABDC indexed reputed journals. My research topic is : A Study of Challenges and Strategies for Indian IT Companies towards the development of Global Brand.I am working with Royal Bank of Scotland as IT-Programme Manager(VP)
in Core Systems having 25 years of experience in ICT companies like IBM, CSC, Cognizant and Samsung. I have worked in USA, UK, South Korea, Singapore and India managing complex E2E IT projects involving teams located in different continents delivering IT solutions and IT strategy for RBS, Bank of Scotland, Metlife-US, John Hancock-US,DBS-Singapore, HBOS-UK & Bank of Ireland.I have been doing coaching and mentoring for last 25 years in Industry and now after completing my PhD, I would like to impart my knowledge with the young entrepreneurs"
31,Technology Hardware,NXP FABCI Core team,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.603c7a3be4b03f92cbc0b7ce.html,"A team of experts from NXP & FABCI, IIT Hyd who are running a Semiconductor accelerator program. "
32,"Telecommunication & Networking, Education, Renewable Energy",Kshitij Shinghal,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.6037367ce4b087332c697989.html,"Dr. Kshitij Shinghal obtained his Doctorate (Ph.D) in 2013. He has published more than 100 Papers in various National, International Journals and Conferences he has published several 10+ papers on entrepreneurship, Innovation and design thinking. He has authored and co-authored more than 10 books on Electronics & Communication Engineering. He has also authored books on Emotional Intelligence, Memory improvement techniques, Time management, Stress Management in workplace and Logical & creative thinking puzzles. He is an elected fellow member FIAET and FISRD. He has received Best Research Paper Award from the International Journal of Advances in Engineering, and Technology [IJAET] in 2015. He has received Certificate of Appreciation for the valuable services rendered in the field of education in 2016 from the Society of Global Education Index. He received Best Reviewer Award from International Journal of Recent Trends in Electrical and Electronics Engineering in 2016. He is also the recipient of IAET Engineering Education Excellence Award-2017. For the last twenty years, he has been actively involved in writing, teaching and research in the diverse areas of engineering, technology and self-help. He has been involved in guiding and motivating his students, to time management abilities, goal setting and follow Success principles that helps them to launch a successful business venture. He is a dynamic teacher, trainer, speaker and motivator."
33,AI,SAURAV SINGLA,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.60363d1ee4b087332c69505b.html,"Accomplished and high-performing Analytical professional with 15 years of deep expertise in the application of analytics, business intelligence, data mining, and statistics in multiple industries and 3 years of consulting experience and 5 years of managing a team in the data science field. Creative problem solver with a unique mix of technical, business, and research proficiency that lends itself to developing key strategies and solutions with significant impact on revenue and ROI. Working experience in machine learning, statistics, natural language processing and deep learning with extensive use of Python, R, SQL & Tableau."
34,"Telecommunication & Networking, Construction, Food & Beverages, Education",Kanisshka Tyagi,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.60353af5e4b0b471e767ee73.html,"Kanisshka Tyagi is a lawyer, who graduated from Campus Law Center, Delhi University, and joined a Delhi based corporate and commercial law firm, where she got extensive exposure in real estate sector and other general corporate and commercial work. She subsequently worked with leading corporate and commercial law firms in New Delhi (NCR Region) and got the opportunity to expand her practice base to include insolvency; private equity and regularly advised on cross border investment transactions amongst other practice areas.• Kanisshka joined Kaden Boriss, a global law firm, as Partner in 2011. She has executed and advised both foreign and domestic companies on transactions related to private equity investments, insolvency and bankruptcy, real estate, acquisitions, corporate restructuring arrangements, commercial contracts and secretarial matters. Besides Kanisshka has been a regular contributor to law magazines and journals and regular speaker at conferences and seminars and has addressed a wide variety of audiences at various platforms on corporate-legal issues. • Kanisshka with a view to encourage and mentor the young startups in India co-founded along with lawyer and company secretary and her colleague at Legum Amicuss, The WorkPlace, co-working offices and facilitated and mentored several startups and their respective founders for a period of 2 years, at the end of which the stake in The WorkPlace was diluted in favour of finance head of a leading co-working office brand.• Kainsshka is currently heading Business Strategies Department of Legum Amicuss, a young dynamic law firm based at New Delhi. Her personal interest lies at structuring of new businesses/startups and structuring them with holistic approach."
35,"Aeronautics Aerospace & Defence, Finance Technology, Enterprise Software",David Shastry,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.603079e2e4b017a8daed2b90.html,"Intelligent, confident and forward thinking, David champions digital design and product strategy at scale. Specializing in crafting data driven, user centered and highly strategic product experiences David drives critical and turnkey value for the corporate, defense, finance and government sectors. His pragmatic and strategic approach to design and product is backed by an entrepreneurial & business oriented mindset and this makes him unique as a creative. 

With clients like NATO, Walgreens, American Medical Association, Kellogs, Coca Cola and other industry leaders, David has brought his expertise and careful strategic guidance to clients at the highest levels of the legal, finance, manufacturing, healthcare, insurance, government, defense and other critical sectors. His expertise and counsel has empowered corporations of varying scale gain and retain key competitive advantage in their respective industries."
36,"Art & Photography, Events, Fashion, Food & Beverages, Dating Matrimonial",Anupama Modi,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.602bae6ee4b0e02b2d424fc5.html,"With an illustrated record of working in the Education management industry for the past 10 Years., I am an Entrepreneurship professional, skilled in Event Management, Team Building, and Teamwork.
Trained entrepreneurship educator from Wadhwani Foundation (NEN) and PMYUVA., my expertise is in developing an Entrepreneurship and Innovation ecosystem in Academic Institutes. Have represented Institutes in various industry associations and social organizations.
Servicing Educational Institutions has given me a wide range of exposure to gain expertise to conceptualize, to design, to develop, and to execute new programs from scratch, apart from enriching the existing ones."
37,Education,DS Chauhan,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.602ac38be4b0e02b2d41eeca.html,Innovating Design Thinking 
38,"AR VR (Augmented + Virtual Reality), Education, Healthcare & Lifesciences",Dr Srivats Bharadwaj,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.60281243e4b07bc22e786812.html,"Accomplished and passionate entrepreneur and a  oral healthcare professional with over 24 years of experience in practicing and teaching dentistry.

An academician at heart with an unyielding enthusiasm to modernize the dental education system, teach, and mentor the next generation of dentists and healthcare professionals to achieve their absolute best and contribute to furthering healthcare. Passionate about elevating dentistry to its rightful place in the league of medicine by promoting interdisciplinary learning and collaboration, with the objective of providing people across all strata of society with access to affordable and superlative oral healthcare. "
39,"Finance Technology, Social Impact, Waste Management",Atul Bajaj,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.602644a7e4b07bc22e77b7bb.html,"I have played multiple roles like COO, CTO, CDO, Transformation and Digitalization Consultant, Leadership and Change Management coach, HR Leader, Product and Program Manager, Analyst, and Developer, while working for Fortune 100 companies globally. I have been mentoring students for entrepreneurship in my outreach engagements with universities and colleges for last 15 years."
40,Human Resources,Sanjaykumar Vermaa,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.6023c2c5e4b07bc22e76ba9e.html,16+ years of experience in Human Resource & Facility Management. Credit of two tech-startups and involved in certification of two organization as ‘Great Place to Work’. A Certified Coach through International Coaching Association and a Certified Leadership Trainer from John Whitmore Academy (US)
41,"Analytics, Advertising, Finance Technology, Enterprise Software",Prof Anand Jagadeesan,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.601d740ae4b07bbc25b83279.html,"Anand Jagadeesan, an academician in the field of management science and a management consultant by professional practice, has qualified as
mathematics and management graduate with chartered accountancy experience of over 25 years in diversified sectors such as Oil & Gas, Media,
Banking, Information Technology, Non Banking Financial Services, Higher Education and NPOs. Presently he is the Advisor to V-Excel Educational Trust, Director of Nivesh Foundation for the Welfare of the Differently Abled Persons (Section 8 company -NGO), Managing Partner of Chennai Consulting Group, and Cyprium Advisors LLP."
42,"Agriculture, Events, Education, Human Resources",Vandana Sharma,https://www.startupindia.gov.in/content/sih/en/profile.Mentor.600e76d2e4b06d1acbcc4d1d.html,"PROFILE
Certified Entrepreneurship Educator from wADHWANI fOUNDATION
Certified Innovation Ambassador by AICTE MHRD Innovation Cell. iNVITED AS A Jury Member for 3M CII YICA Challenge 2020. Having 10 years of strong working experience as an entrepreneurship educator, startup mentor, and in the field of Developing Entrepreneurship Ecosystem, Mentoring, training and building Strong Corporate Relationship. Working towards student development and mentoring various innovative ideas."
